2757,4731,a
5271,8064,b
8937,11547,c
12947,17309,x
18937,20918,a
21372,24270,b
124545,126235,i
128789,130663,a
131392,134055,b
135074,137682,c
139084,143458,d
145123,147122,a
147458,150270,b
162447,164308,a
164966,167756,b
168938,171285,c
172768,177066,x
178882,180922,a
181260,184274,b
186095,187237,k
190228,191949,k
193479,198153,k
201154,203285,a
203622,206443,b
207317,209926,c
211484,215881,x
217571,219475,a
219959,222885,b
530169,531837,i
557391,558366,k
566930,568686,i
571176,573174,a
573732,576537,b
579169,581156,a
581528,584344,b
585280,587817,c
589454,593756,d
595417,597457,a
597876,600729,b
602808,603934,k
607204,609082,k
610547,615407,k
618154,620079,a
620513,623455,b
624264,626950,c
628413,632850,x
634537,636400,a
636945,639788,b
854112,855945,i
858352,860170,a
860880,863650,b
866437,868428,a
868853,871750,b
872525,875157,c
876615,880969,x
882657,884757,a
885067,887969,b
889983,891135,k
893656,895571,k
896896,901831,k
904309,906250,a
906653,909537,b
910300,912885,c
914451,918884,x
920473,922441,a
922914,925842,b
937694,939582,a
940216,942962,b
946604,947944,k
953342,955400,a
955736,958614,b
959368,961978,c
963485,967852,d
969587,971575,a
971987,974850,b
1019966,1021769,i
1024809,1026766,a
1027329,1030064,b
1030944,1033544,c
1035057,1039510,x
1041152,1043124,a
1043555,1046432,b
1048378,1049549,k
1052153,1053918,a
1055123,1060020,b
1062693,1064574,a
1065041,1067860,b
1068807,1071345,c
1229743,1230794,k
1233808,1235591,i
1238018,1240014,a
1240516,1243301,b
1244387,1246912,c
1248446,1252730,d
1254438,1256296,a
1256767,1259651,b
1261615,1262734,k
1265522,1267391,k
1268841,1273814,k
1276836,1278754,a
1279213,1282056,b
1282870,1285357,c
1286910,1291274,d
1292949,1294753,a
1295279,1298125,b
1441455,1443172,i
1445497,1447361,a
1448161,1450852,b
1453364,1455440,a
1455795,1458546,b
1459444,1461913,c
1463533,1468005,d
1469598,1471550,a
1472032,1474835,b
1476846,1478079,k
1480300,1482374,a
1484837,1489705,b
1492620,1494597,a
1495039,1497835,b
1498681,1501283,c
1502694,1507071,d
1508713,1510697,a
1511184,1514120,b
1593644,1595306,i
